Cluster,OID_,Fault_proximity,Basement_dummy,Lito_Fans,Lito_Shales,Precipitation,Temperature,Urban_dummy,Vertical_velocity,Age_1980,X,Y
4272,169760.3297,10379.18609,0,1,0,88.37460721,14.87564145,1,2.054638781,0.659340659,993675.8275,1002271.903
4275,167854.6121,11028.7931,0,1,0,92.39734597,14.7860457,1,2.245090123,0.465517241,993680.4865,1003293.821
4276,167840.4389,11197.31997,0,1,0,93.18379954,14.77013484,1,2.26950307,0.529411765,993696.1703,1003529.096
4277,400174.2094,11424.01167,0,1,0,94.24066286,14.74851133,1,2.271115755,0.329842932,993686.0923,1003873.38
4278,422862.1609,11506.22517,0,1,0,94.61182474,14.74072616,1,2.254567116,0.482758621,993681.6764,1003996.973
4280,424330,12002.99237,0,0,0,96.54099274,14.69801426,1,2.146610975,1,993523.7847,1004845.365
4281,427446.7624,12197.29135,0,0,0,97.18870839,14.68213975,1,2.175393945,0.03960396,993560.0443,1005074.574
4282,427424.0686,12461.26597,0,0,0,97.88018466,14.66385417,1,2.267491888,0.039711191,993681.127,1005319.817
4284,424170.314,12941.34968,0,0,0,99.29180817,14.62636964,1,2.926948965,0.220930233,993706.5813,1005984.554
4285,424708.8653,13031.46902,0,0,0,99.58294972,14.62007371,1,3.138424658,0.269461078,993649.2449,1006155.026
4286,432690.5441,13232.26198,0,0,0,100.1002437,14.60959698,1,3.254326547,0.235294118,993562.7122,1006440.589
4291,409391.5429,13577.37131,0,0,0,103.4925631,14.57429507,1,2.776056351,1,993783.4392,1008127.591
4292,409367.5789,13605.56167,0,0,0,103.6238626,14.57467325,1,2.791605479,0.947368421,993780.8712,1008199.656
4293,409590.8571,13968.1889,0,0,0,104.2202492,14.58410454,1,2.994664907,0.5,993554.1586,1008620.812
4294,409404.1929,13969.82564,0,0,0,104.9165938,14.58079352,1,3.064981004,0.884272997,993670.3783,1008928.905
4295,408238.6748,14033.25668,0,0,0,105.4288218,14.57805783,1,3.093394327,0.708737864,993703.2951,1009188.976
4296,407896.0591,14203.2267,0,0,0,106.0336483,14.57481801,1,3.075736382,0.837438424,993661.4635,1009544.288
4297,408274.1368,14204.04357,0,0,0,106.656546,14.5628291,1,3.026666885,0.431578947,993764.3294,1009830.189
4303,380307.2051,14773.43274,0,0,0,109.8199101,14.49935094,1,3.170313737,0.025641026,993789.7382,1011716.727
4304,381750.7867,14562.8719,0,0,0,110.0303216,14.49582556,1,3.124566398,0.332568807,993709.5364,1011919.852
4305,379983.5455,14338.80124,0,0,0,110.5722764,14.48340216,1,3.166491419,0.292207792,993759.7368,1012213.774
4306,385271.8297,13997.68264,0,0,0,111.018275,14.47649956,1,3.223892085,0.114355231,993671.6305,1012560.441
4307,384813.9536,13773.80592,0,0,0,111.3801383,14.47103361,1,3.243609904,0.121428571,993631.2773,1012799.984
4308,387432.415,13541.23569,0,0,0,111.9702526,14.46160993,1,3.17737123,0.094707521,993676.4681,1013107.853
4309,385814.3505,13308.84405,0,0,0,112.3737773,14.45712265,1,3.107774223,0.103092784,993631.7801,1013357.319
4310,386523.5191,13040.1389,0.002392344,0,0,113.160569,14.44765794,1,3.224386668,0.04784689,993696.7524,1013728.841
4311,386992.2857,12782.15909,0.142857143,0,0,113.6532004,14.44451291,1,3.457751104,0,993639.1929,1014005.053
4312,387501,12692.43789,0,0,0,114.41185,14.43571949,1,3.902534485,0,993799.9807,1014234.81
4351,546461,8894.150939,0,1,0,106.9998474,14.44802666,0,2.018834591,0,994045.488,982535.028
4352,546399,8693.833141,0,1,0,106.9853592,14.44811916,0,2.026774645,0,993926.411,982706.5639
4353,546357,8379.816726,0,1,0,107.010376,14.44796658,0,2.498652935,0,993851.3067,983124.8144
4354,546401.125,8322.039973,0,1,0,107.1172714,14.44733942,0,2.290929377,0,993959.1835,983375.7076
4355,546400.7778,8170.070425,0,1,0,107.179195,14.44700008,0,2.426157554,0.222222222,993966.5671,983661.2581
4356,546411.8889,8007.586381,0,1,0,107.2624283,14.44656573,0,2.339854929,0.111111111,993996.8415,984018.0233
4357,546380,7699.23356,0,1,0,107.2276077,14.44679737,0,2.268480062,0,993872.6991,984423.3117
4358,546397.0769,7725.057473,0,1,0,107.3717282,14.44607339,0,2.386252367,0,993991.0834,984594.4738
4359,546417,7566.382673,0,1,0,107.3846614,14.44606495,0,2.338797331,0,993949.6308,984869.8596
4360,546350.3333,7467.249907,0,1,0,107.5020549,14.44562435,0,2.316711585,0.333333333,994022.5741,985284.7742
4361,546290.5,7355.504107,0,1,0,107.5070152,14.4456687,0,2.338030616,0.5,993972.6301,985462.4681
4362,546286.5,7181.010154,0,1,0,107.5291901,14.44580078,0,2.299894333,0,993949.3015,985925.7091
4363,546256.5556,7182.585515,0,1,0,107.6211912,14.44550535,0,2.295020474,0.666666667,993992.785,986066.0854
4364,546864,6955.520678,0,1,0,107.5084457,14.44619179,0,2.127821684,0,993841.3858,986370.4538
4403,48620.35135,8280.776682,0,1,0,84.78680111,14.84737126,1,1.805388644,0.918918919,994045.0206,998229.9743
4404,48488.72146,8354.948021,0,1,0,85.03545474,14.88027993,1,1.796898135,0.940639269,994042.7349,998402.0122
4405,48143.34114,8467.456558,0,1,0,85.33791538,14.95078699,1,1.770502963,0.939799331,994003.8986,998717.5659
4407,48045,8705.025577,0,1,0,84.9671402,15.05005932,1,1.748687029,1,993982.1468,999226.554
4409,161130.615,9076.840016,0,1,0,84.04922614,15.09032641,1,1.837313066,0.906417112,993958.493,999930.257
