ID_casa,Resultado,DistanciaFalla,sotano_dummy,edad_casa,"Lito_SGC_Arcillas,_",Lito_SGC_Abanicos_a,"Lito_SGC_Shales,_ca",Precipitacion_mes,Temperatura,Urbano_dummy,Vertical_velocity
1,175.0,5534.072234,0,2,1,0,0,99.51187133789062,14.27584362030029,1,1.6186023950576782
10,46.86,4887.241543,1,4,1,0,0,103.4172515869141,14.24652481079102,1,1.4595850706100464
16,81.8,5678.445117,1,2,1,0,0,105.4847793579102,14.22805404663086,1,1.4942584037780762
17,177.08499999999998,10815.00997,0,5,1,0,0,118.9376754760742,14.02861785888672,1,1.81451416015625
19,118.565,6204.616747,0,4,1,0,0,100.1456756591797,14.27144145965576,1,1.5769981145858765
22,61.8,5032.376765,0,3,1,0,0,103.3185653686523,14.24699878692627,1,1.4901877641677856
24,45.375,13435.78127,0,2,1,0,0,111.4679794311523,14.29449653625488,1,2.6109352111816406
26,176.15,12960.80549,0,4,1,0,0,112.9903106689453,14.23567676544189,1,2.57466983795166
28,15.4,4997.736385,0,4,1,0,0,104.5232925415039,14.2377986907959,1,1.551015019416809
29,129.94,8627.384258,0,5,1,0,0,120.2321090698242,13.95436382293701,1,1.6837188005447388
30,140.0,8880.562833,0,4,1,0,0,116.9326095581055,14.05616855621338,1,1.7026042938232422
36,198.0,6758.584502,1,4,1,0,0,108.6798553466797,14.17541885375977,1,1.7355164289474487
37,25.75,4349.131167,0,4,0,1,0,102.4428558349609,14.25393295288086,1,1.4694355726242065
38,107.13,6964.609725,0,5,1,0,0,108.5956192016602,14.18422985076904,1,1.5673859119415283
41,98.83,7854.774253,1,3,1,0,0,110.1572113037109,14.17972183227539,1,1.6859756708145142
43,40.7,11286.03144,0,2,1,0,0,137.1793518066406,14.27542400360107,1,2.791534900665283
48,82.4,6488.057194,0,5,1,0,0,105.4247512817383,14.22114658355713,1,2.03902006149292
49,237.01,6318.240032,0,5,1,0,0,90.75243377685547,14.35777473449707,1,1.7160273790359497
50,159.0,7664.211273,0,4,1,0,0,115.0197067260742,14.05484771728516,1,1.6882916688919067
53,130.15,5997.273477,0,5,1,0,0,71.53990173339844,15.10780048370361,0,2.3682167530059814
58,102.66,9195.844687,0,2,1,0,0,119.1144409179688,14.3015308380127,0,2.41184139251709
60,134.0,9624.791476,1,3,1,0,0,94.0489273071289,14.34684658050537,0,1.6033855676651
66,36.05,8674.266123,0,1,1,0,0,108.5049362182617,14.30831909179688,0,2.7818210124969482
69,25.75,8496.503796,0,5,1,0,0,104.8585662841797,14.23964691162109,0,2.414968967437744
72,407.0,4803.180864,1,5,1,0,0,103.7912750244141,14.26233768463135,0,1.9570614099502563
73,102.6,7491.004812,0,4,1,0,0,113.0513229370117,14.09545516967773,0,1.710402488708496
74,77.2,97.92342203,0,1,0,0,1,97.6162338256836,14.34558486938477,0,1.6092209815979004
76,195.7,742.9880994,1,3,1,0,0,72.47541046142578,13.7017707824707,0,1.326493501663208
78,39.1,559.0922235,0,3,0,1,0,72.49708557128906,13.70232009887695,0,1.4976468086242676
79,103.015,5126.100945,0,4,1,0,0,105.3546295166016,14.23038864135742,0,1.4962120056152344
