ID_casa,Resultado,sotano_dummy,Age_1980,Lito_SGC_Abanicos_a,"Lito_SGC_Shales,_ca",Precipitacion_mes,Temperatura,Urbano_dummy
1,175.0,0,0,0,0,99.51187133789062,14.32124710083008,1
10,46.86,1,0,0,0,103.4172515869141,14.30334281921387,1
16,81.8,1,0,0,0,105.4847793579102,14.29157066345215,1
17,177.08499999999998,0,1,0,0,118.9376754760742,14.11265277862549,1
19,118.565,0,0,0,0,100.1456756591797,14.31655025482178,1
22,61.8,0,0,0,0,103.3185653686523,14.30231189727783,1
24,45.375,0,0,0,0,111.4679794311523,14.40970897674561,1
26,176.15,0,1,0,0,112.9903106689453,14.34711837768555,1
28,15.4,0,0,0,0,104.5232925415039,14.29912281036377,1
29,129.94,0,1,0,0,120.2321090698242,14.03740787506104,1
30,140.0,0,1,0,0,116.9326095581055,14.1303186416626,1
36,198.0,1,1,0,0,108.6798553466797,14.25722694396973,1
37,25.75,0,0,1,0,102.4428558349609,14.30903911590576,1
38,107.13,0,0,0,0,108.5956192016602,14.26468086242676,1
41,98.83,1,1,0,0,110.1572113037109,14.23151206970215,1
43,40.7,0,0,0,0,137.1793518066406,14.35732364654541,1
48,82.4,0,1,0,0,105.4247512817383,14.2741584777832,1
49,237.01,0,1,0,0,90.75243377685547,14.38427066802979,1
50,159.0,0,0,0,0,115.0197067260742,14.13149166107178,1
53,130.15,0,1,0,0,71.53990173339844,15.14588165283203,1
58,102.66,0,0,0,0,119.1144409179688,14.40613746643066,0
60,134.0,1,0,0,0,94.0489273071289,14.40282154083252,0
66,36.05,0,0,0,0,108.5049362182617,14.39797973632812,0
69,25.75,0,1,0,0,104.8585662841797,14.29049777984619,1
72,407.0,1,1,0,0,103.7912750244141,14.32305145263672,1
73,102.6,0,1,0,0,113.0513229370117,14.17166328430176,1
74,77.2,0,0,0,1,97.6162338256836,14.40631484985352,0
76,195.7,1,0,0,0,72.47541046142578,13.70231342315674,0
78,39.1,0,0,1,0,72.49708557128906,13.7036714553833,0
79,103.015,0,0,0,0,105.3546295166016,14.2990083694458,1
